pair,method,signal,period,cost,sharpe,ann_return,ann_vol,total_return,max_drawdown,n_trades,hit_rate,avg_turnover,exposure
EWA-EWC,rolling_ols,proportional,oos_2023_2025,no_cost,0.4784812914844793,0.01708929684678373,0.03682998742821556,0.041450036926266254,-0.04191751608816368,1,0.5091210613598673,0.12084633005266228,0.9983443708609272
EWA-EWC,rolling_ols,proportional,oos_2023_2025,tc_5bps,0.06496126651769588,0.001718418525163079,0.03688078283882647,0.004123693466704159,-0.04613075303194755,1,0.46766169154228854,0.12084633005266228,0.9983443708609272
EWA-EWC,rolling_ols,proportional,oos_2023_2025,tc_10bps,-0.34721634018706815,-0.013421869512450502,0.03695337384279893,-0.03186885362728331,-0.06244268343711603,1,0.4461028192371476,0.12084633005266228,0.9983443708609272
EWA-EWC,rolling_ols,proportional,full_2013_2025,no_cost,0.5025451325246602,0.020015558074530926,0.041117994685074606,0.2780867472185202,-0.09372287282548429,1,0.5153640614562458,0.11775516652023077,0.9596153846153846
EWA-EWC,rolling_ols,proportional,full_2013_2025,tc_5bps,0.14124217710212938,0.004988206490398106,0.04125182170193391,0.06354240152353263,-0.12865921484774692,1,0.47661990647962593,0.11775516652023077,0.9596153846153846
EWA-EWC,rolling_ols,proportional,full_2013_2025,tc_10bps,-0.21759269453170907,-0.009819668542815685,0.0414106452164274,-0.11500891505133137,-0.19802029496822193,1,0.44923179692718773,0.11775516652023077,0.9596153846153846
EWA-EWC,kalman_basic,threshold_z,book_era_2013_2022,no_cost,0.4167817095433482,0.026217491540204918,0.06756858060050537,0.29510483940956855,-0.11338647213831952,61,0.49783783783783786,0.05027024792818555,0.7347100873709294
EWA-EWC,kalman_basic,threshold_z,book_era_2013_2022,tc_5bps,0.32268168232138145,0.01973331817450341,0.06764343466328344,0.21562252884771094,-0.11441375556095927,61,0.49783783783783786,0.05027024792818555,0.7347100873709294
EWA-EWC,kalman_basic,threshold_z,book_era_2013_2022,tc_10bps,0.22864690026427567,0.013287040314762466,0.06776057772174435,0.14098355707334398,-0.11544029129375863,61,0.49783783783783786,0.05027024792818555,0.7347100873709294
EWA-EWC,kalman_basic,threshold_z,oos_2023_2025,no_cost,0.33957856021677846,0.014688703364803768,0.04606226741714236,0.03556813060626007,-0.04659760316025664,19,0.48166259168704156,0.06284422051852884,0.6771523178807947
EWA-EWC,kalman_basic,threshold_z,oos_2023_2025,tc_5bps,0.16715239272153162,0.0066794161187406775,0.04620566022866102,0.016084143755945135,-0.04862374406744541,19,0.48166259168704156,0.06284422051852884,0.6771523178807947
EWA-EWC,kalman_basic,threshold_z,oos_2023_2025,tc_10bps,-0.0041998596120173,-0.001270514220589547,0.04642658061186499,-0.0030424990667607954,-0.05064653127654602,19,0.48166259168704156,0.06284422051852884,0.6771523178807947
